['蠡县人民法院', '2022-01-01', '2022-01-07']
['威县人民法院', '2022-06-11', '2022-06-17']
['威县人民法院', '2022-06-18', '2022-06-24']
['威县人民法院', '2022-06-25', '2022-07-01']
['威县人民法院', '2022-07-02', '2022-07-08']
['威县人民法院', '2022-07-09', '2022-07-15']
['威县人民法院', '2022-07-16', '2022-07-22']
['威县人民法院', '2022-07-23', '2022-07-29']
['威县人民法院', '2022-07-30', '2022-08-05']
['威县人民法院', '2022-08-06', '2022-08-12']
['威县人民法院', '2022-08-13', '2022-08-19']
['威县人民法院', '2022-08-20', '2022-08-26']
['威县人民法院', '2022-08-27', '2022-09-02']
['威县人民法院', '2022-09-03', '2022-09-09']
['威县人民法院', '2022-09-10', '2022-09-16']
['威县人民法院', '2022-09-17', '2022-09-23']
['威县人民法院', '2022-09-24', '2022-09-30']
['威县人民法院', '2022-10-01', '2022-10-07']
['威县人民法院', '2022-10-08', '2022-10-14']
['威县人民法院', '2022-10-15', '2022-10-21']
['威县人民法院', '2022-10-22', '2022-10-28']
['威县人民法院', '2022-10-29', '2022-11-04']
['威县人民法院', '2022-11-05', '2022-11-11']
['威县人民法院', '2022-11-12', '2022-11-18']
['威县人民法院', '2022-11-19', '2022-11-25']
['威县人民法院', '2022-11-26', '2022-12-02']
['威县人民法院', '2022-12-03', '2022-12-09']
['威县人民法院', '2022-12-10', '2022-12-16']
['威县人民法院', '2022-12-17', '2022-12-23']
['威县人民法院', '2022-12-24', '2022-12-30']
['沧州市新华区人民法院', '2022-01-01', '2022-01-07']
['沧州市新华区人民法院', '2022-01-08', '2022-01-14']
['沧州市新华区人民法院', '2022-01-15', '2022-01-21']
['沧州市新华区人民法院', '2022-01-22', '2022-01-28']
['沧州市新华区人民法院', '2022-01-29', '2022-02-04']
['沧州市新华区人民法院', '2022-02-05', '2022-02-11']
['沧州市新华区人民法院', '2022-02-12', '2022-02-18']
['沧州市新华区人民法院', '2022-02-19', '2022-02-25']
['沧州市新华区人民法院', '2022-02-26', '2022-03-04']
['沧州市新华区人民法院', '2022-03-05', '2022-03-11']
['沧州市新华区人民法院', '2022-03-12', '2022-03-18']
['沧州市新华区人民法院', '2022-03-19', '2022-03-25']
['沧州市新华区人民法院', '2022-03-26', '2022-04-01']
['沧州市新华区人民法院', '2022-04-02', '2022-04-08']
['沧州市新华区人民法院', '2022-04-09', '2022-04-15']
['沧州市新华区人民法院', '2022-04-16', '2022-04-22']
['沧州市新华区人民法院', '2022-04-23', '2022-04-29']
['沧州市新华区人民法院', '2022-04-30', '2022-05-06']
['沧州市新华区人民法院', '2022-05-07', '2022-05-13']
['沧州市新华区人民法院', '2022-05-14', '2022-05-20']
['沧州市新华区人民法院', '2022-05-21', '2022-05-27']
['沧州市新华区人民法院', '2022-05-28', '2022-06-03']
['沧州市新华区人民法院', '2022-06-04', '2022-06-10']
['沧州市新华区人民法院', '2022-06-11', '2022-06-17']
['沧州市新华区人民法院', '2022-06-18', '2022-06-24']
['沧州市新华区人民法院', '2022-06-25', '2022-07-01']
['沧州市新华区人民法院', '2022-07-02', '2022-07-08']
['沧州市新华区人民法院', '2022-07-09', '2022-07-15']
['沧州市新华区人民法院', '2022-07-16', '2022-07-22']
['沧州市新华区人民法院', '2022-07-23', '2022-07-29']
['沧州市新华区人民法院', '2022-07-30', '2022-08-05']
['沧州市新华区人民法院', '2022-08-06', '2022-08-12']
['沧州市新华区人民法院', '2022-08-13', '2022-08-19']
['沧州市新华区人民法院', '2022-08-20', '2022-08-26']
['沧州市新华区人民法院', '2022-08-27', '2022-09-02']
['沧州市新华区人民法院', '2022-09-03', '2022-09-09']
['沧州市新华区人民法院', '2022-09-10', '2022-09-16']
['沧州市新华区人民法院', '2022-09-17', '2022-09-23']
['沧州市新华区人民法院', '2022-09-24', '2022-09-30']
['沧州市新华区人民法院', '2022-10-01', '2022-10-07']
['沧州市新华区人民法院', '2022-10-08', '2022-10-14']
['沧州市新华区人民法院', '2022-10-15', '2022-10-21']
['沧州市新华区人民法院', '2022-10-22', '2022-10-28']
['沧州市新华区人民法院', '2022-10-29', '2022-11-04']
['沧州市新华区人民法院', '2022-11-05', '2022-11-11']
['沧州市新华区人民法院', '2022-11-12', '2022-11-18']
['沧州市新华区人民法院', '2022-11-19', '2022-11-25']
['沧州市新华区人民法院', '2022-11-26', '2022-12-02']
['沧州市新华区人民法院', '2022-12-03', '2022-12-09']
['沧州市新华区人民法院', '2022-12-10', '2022-12-16']
['沧州市新华区人民法院', '2022-12-17', '2022-12-23']
['沧州市新华区人民法院', '2022-12-24', '2022-12-30']
['阜平县人民法院', '2022-01-01', '2022-01-07']
['阜平县人民法院', '2022-01-08', '2022-01-14']
['阜平县人民法院', '2022-01-15', '2022-01-21']
['阜平县人民法院', '2022-01-22', '2022-01-28']
['阜平县人民法院', '2022-01-29', '2022-02-04']
['阜平县人民法院', '2022-02-05', '2022-02-11']
['阜平县人民法院', '2022-02-12', '2022-02-18']
['阜平县人民法院', '2022-02-19', '2022-02-25']
['阜平县人民法院', '2022-02-26', '2022-03-04']
['阜平县人民法院', '2022-03-05', '2022-03-11']
['阜平县人民法院', '2022-03-12', '2022-03-18']
['阜平县人民法院', '2022-03-19', '2022-03-25']
['阜平县人民法院', '2022-03-26', '2022-04-01']
['阜平县人民法院', '2022-04-02', '2022-04-08']
['阜平县人民法院', '2022-04-09', '2022-04-15']
['阜平县人民法院', '2022-04-16', '2022-04-22']
['阜平县人民法院', '2022-04-23', '2022-04-29']
['阜平县人民法院', '2022-04-30', '2022-05-06']
['阜平县人民法院', '2022-05-07', '2022-05-13']
['阜平县人民法院', '2022-05-14', '2022-05-20']
['阜平县人民法院', '2022-05-21', '2022-05-27']
['阜平县人民法院', '2022-05-28', '2022-06-03']
['阜平县人民法院', '2022-06-04', '2022-06-10']
['阜平县人民法院', '2022-06-11', '2022-06-17']
['阜平县人民法院', '2022-06-18', '2022-06-24']
['阜平县人民法院', '2022-06-25', '2022-07-01']
['阜平县人民法院', '2022-07-02', '2022-07-08']
['阜平县人民法院', '2022-07-09', '2022-07-15']
['阜平县人民法院', '2022-07-16', '2022-07-22']
['阜平县人民法院', '2022-07-23', '2022-07-29']
['阜平县人民法院', '2022-07-30', '2022-08-05']
['阜平县人民法院', '2022-08-06', '2022-08-12']
['阜平县人民法院', '2022-08-13', '2022-08-19']
['阜平县人民法院', '2022-08-20', '2022-08-26']
['阜平县人民法院', '2022-08-27', '2022-09-02']
['阜平县人民法院', '2022-09-03', '2022-09-09']
['阜平县人民法院', '2022-09-10', '2022-09-16']
['阜平县人民法院', '2022-09-17', '2022-09-23']
['阜平县人民法院', '2022-09-24', '2022-09-30']
['阜平县人民法院', '2022-10-01', '2022-10-07']
['阜平县人民法院', '2022-10-08', '2022-10-14']
['阜平县人民法院', '2022-10-15', '2022-10-21']
['阜平县人民法院', '2022-10-22', '2022-10-28']
['阜平县人民法院', '2022-10-29', '2022-11-04']
['阜平县人民法院', '2022-11-05', '2022-11-11']
['阜平县人民法院', '2022-11-12', '2022-11-18']
['阜平县人民法院', '2022-11-19', '2022-11-25']
['阜平县人民法院', '2022-11-26', '2022-12-02']
['阜平县人民法院', '2022-12-03', '2022-12-09']
['阜平县人民法院', '2022-12-10', '2022-12-16']
['阜平县人民法院', '2022-12-17', '2022-12-23']
['阜平县人民法院', '2022-12-24', '2022-12-30']
['元氏县人民法院', '2022-01-01', '2022-01-07']
['元氏县人民法院', '2022-01-08', '2022-01-14']
['元氏县人民法院', '2022-01-15', '2022-01-21']
['元氏县人民法院', '2022-01-22', '2022-01-28']
['元氏县人民法院', '2022-01-29', '2022-02-04']
['元氏县人民法院', '2022-02-05', '2022-02-11']
['元氏县人民法院', '2022-02-12', '2022-02-18']
['元氏县人民法院', '2022-02-19', '2022-02-25']
['元氏县人民法院', '2022-02-26', '2022-03-04']
['元氏县人民法院', '2022-03-05', '2022-03-11']
['元氏县人民法院', '2022-03-12', '2022-03-18']
['元氏县人民法院', '2022-03-19', '2022-03-25']
['元氏县人民法院', '2022-03-26', '2022-04-01']
['元氏县人民法院', '2022-04-02', '2022-04-08']
['元氏县人民法院', '2022-04-09', '2022-04-15']
['元氏县人民法院', '2022-04-16', '2022-04-22']
['元氏县人民法院', '2022-04-23', '2022-04-29']
['元氏县人民法院', '2022-04-30', '2022-05-06']
['元氏县人民法院', '2022-05-07', '2022-05-13']
['元氏县人民法院', '2022-05-14', '2022-05-20']
['元氏县人民法院', '2022-05-21', '2022-05-27']
['元氏县人民法院', '2022-05-28', '2022-06-03']
['元氏县人民法院', '2022-06-04', '2022-06-10']
['元氏县人民法院', '2022-06-11', '2022-06-17']
['元氏县人民法院', '2022-06-18', '2022-06-24']
['元氏县人民法院', '2022-06-25', '2022-07-01']
['元氏县人民法院', '2022-07-02', '2022-07-08']
['元氏县人民法院', '2022-07-09', '2022-07-15']
['元氏县人民法院', '2022-07-16', '2022-07-22']
['元氏县人民法院', '2022-07-23', '2022-07-29']
['元氏县人民法院', '2022-07-30', '2022-08-05']
['元氏县人民法院', '2022-08-06', '2022-08-12']
['元氏县人民法院', '2022-08-13', '2022-08-19']
['元氏县人民法院', '2022-08-20', '2022-08-26']
['元氏县人民法院', '2022-08-27', '2022-09-02']
['元氏县人民法院', '2022-09-03', '2022-09-09']
['元氏县人民法院', '2022-09-10', '2022-09-16']
['元氏县人民法院', '2022-09-17', '2022-09-23']
['元氏县人民法院', '2022-09-24', '2022-09-30']
['元氏县人民法院', '2022-10-01', '2022-10-07']
['元氏县人民法院', '2022-10-08', '2022-10-14']
['元氏县人民法院', '2022-10-15', '2022-10-21']
['元氏县人民法院', '2022-10-22', '2022-10-28']
['元氏县人民法院', '2022-10-29', '2022-11-04']
['元氏县人民法院', '2022-11-05', '2022-11-11']
['元氏县人民法院', '2022-11-12', '2022-11-18']
['元氏县人民法院', '2022-11-19', '2022-11-25']
['元氏县人民法院', '2022-11-26', '2022-12-02']
['元氏县人民法院', '2022-12-03', '2022-12-09']
['元氏县人民法院', '2022-12-10', '2022-12-16']
['元氏县人民法院', '2022-12-17', '2022-12-23']
['元氏县人民法院', '2022-12-24', '2022-12-30']
['香河县人民法院', '2022-01-01', '2022-01-07']
['香河县人民法院', '2022-01-08', '2022-01-14']
['香河县人民法院', '2022-01-15', '2022-01-21']
['香河县人民法院', '2022-01-22', '2022-01-28']
['香河县人民法院', '2022-01-29', '2022-02-04']
['香河县人民法院', '2022-02-05', '2022-02-11']
['香河县人民法院', '2022-02-12', '2022-02-18']
['香河县人民法院', '2022-02-19', '2022-02-25']
['香河县人民法院', '2022-02-26', '2022-03-04']
['香河县人民法院', '2022-03-05', '2022-03-11']
['香河县人民法院', '2022-03-12', '2022-03-18']
['香河县人民法院', '2022-03-19', '2022-03-25']
['香河县人民法院', '2022-03-26', '2022-04-01']
['香河县人民法院', '2022-04-02', '2022-04-08']
['香河县人民法院', '2022-04-09', '2022-04-15']
['香河县人民法院', '2022-04-16', '2022-04-22']
['香河县人民法院', '2022-04-23', '2022-04-29']
['香河县人民法院', '2022-04-30', '2022-05-06']
['香河县人民法院', '2022-05-07', '2022-05-13']
['香河县人民法院', '2022-05-14', '2022-05-20']
['香河县人民法院', '2022-05-21', '2022-05-27']
['香河县人民法院', '2022-05-28', '2022-06-03']
['香河县人民法院', '2022-06-04', '2022-06-10']
['香河县人民法院', '2022-06-11', '2022-06-17']
['香河县人民法院', '2022-06-18', '2022-06-24']
['香河县人民法院', '2022-06-25', '2022-07-01']
['香河县人民法院', '2022-07-02', '2022-07-08']
['香河县人民法院', '2022-07-09', '2022-07-15']
['香河县人民法院', '2022-07-16', '2022-07-22']
['香河县人民法院', '2022-07-23', '2022-07-29']
['香河县人民法院', '2022-07-30', '2022-08-05']
['香河县人民法院', '2022-08-06', '2022-08-12']
['香河县人民法院', '2022-08-13', '2022-08-19']
['香河县人民法院', '2022-08-20', '2022-08-26']
['香河县人民法院', '2022-08-27', '2022-09-02']
['香河县人民法院', '2022-09-03', '2022-09-09']
['香河县人民法院', '2022-09-10', '2022-09-16']
['香河县人民法院', '2022-09-17', '2022-09-23']
['香河县人民法院', '2022-09-24', '2022-09-30']
['香河县人民法院', '2022-10-01', '2022-10-07']
['香河县人民法院', '2022-10-08', '2022-10-14']
['香河县人民法院', '2022-10-15', '2022-10-21']
['香河县人民法院', '2022-10-22', '2022-10-28']
['香河县人民法院', '2022-10-29', '2022-11-04']
['香河县人民法院', '2022-11-05', '2022-11-11']
['香河县人民法院', '2022-11-12', '2022-11-18']
['香河县人民法院', '2022-11-19', '2022-11-25']
['香河县人民法院', '2022-11-26', '2022-12-02']
['香河县人民法院', '2022-12-03', '2022-12-09']
['香河县人民法院', '2022-12-10', '2022-12-16']
['香河县人民法院', '2022-12-17', '2022-12-23']
['香河县人民法院', '2022-12-24', '2022-12-30']
['石家庄市鹿泉区人民法院', '2022-01-01', '2022-01-07']
['石家庄市鹿泉区人民法院', '2022-01-08', '2022-01-14']
['石家庄市鹿泉区人民法院', '2022-01-15', '2022-01-21']
['石家庄市鹿泉区人民法院', '2022-01-22', '2022-01-28']
['石家庄市鹿泉区人民法院', '2022-01-29', '2022-02-04']
['石家庄市鹿泉区人民法院', '2022-02-05', '2022-02-11']
['石家庄市鹿泉区人民法院', '2022-02-12', '2022-02-18']
['石家庄市鹿泉区人民法院', '2022-02-19', '2022-02-25']
['石家庄市鹿泉区人民法院', '2022-02-26', '2022-03-04']
['石家庄市鹿泉区人民法院', '2022-03-05', '2022-03-11']
['石家庄市鹿泉区人民法院', '2022-03-12', '2022-03-18']
['石家庄市鹿泉区人民法院', '2022-03-19', '2022-03-25']
['石家庄市鹿泉区人民法院', '2022-03-26', '2022-04-01']
['石家庄市鹿泉区人民法院', '2022-04-02', '2022-04-08']
['石家庄市鹿泉区人民法院', '2022-04-09', '2022-04-15']
['石家庄市鹿泉区人民法院', '2022-04-16', '2022-04-22']
['石家庄市鹿泉区人民法院', '2022-04-23', '2022-04-29']
['石家庄市鹿泉区人民法院', '2022-04-30', '2022-05-06']
['石家庄市鹿泉区人民法院', '2022-05-07', '2022-05-13']
['石家庄市鹿泉区人民法院', '2022-05-14', '2022-05-20']
['石家庄市鹿泉区人民法院', '2022-05-21', '2022-05-27']
['石家庄市鹿泉区人民法院', '2022-05-28', '2022-06-03']
['石家庄市鹿泉区人民法院', '2022-06-04', '2022-06-10']
['石家庄市鹿泉区人民法院', '2022-06-11', '2022-06-17']
['石家庄市鹿泉区人民法院', '2022-06-18', '2022-06-24']
['石家庄市鹿泉区人民法院', '2022-06-25', '2022-07-01']
['石家庄市鹿泉区人民法院', '2022-07-02', '2022-07-08']
['石家庄市鹿泉区人民法院', '2022-07-09', '2022-07-15']
['石家庄市鹿泉区人民法院', '2022-07-16', '2022-07-22']
['石家庄市鹿泉区人民法院', '2022-07-23', '2022-07-29']
['石家庄市鹿泉区人民法院', '2022-07-30', '2022-08-05']
['石家庄市鹿泉区人民法院', '2022-08-06', '2022-08-12']
['石家庄市鹿泉区人民法院', '2022-08-13', '2022-08-19']
['石家庄市鹿泉区人民法院', '2022-08-20', '2022-08-26']
['石家庄市鹿泉区人民法院', '2022-08-27', '2022-09-02']
['石家庄市鹿泉区人民法院', '2022-09-03', '2022-09-09']
['石家庄市鹿泉区人民法院', '2022-09-10', '2022-09-16']
['石家庄市鹿泉区人民法院', '2022-09-17', '2022-09-23']
['石家庄市鹿泉区人民法院', '2022-09-24', '2022-09-30']
['石家庄市鹿泉区人民法院', '2022-10-01', '2022-10-07']
['石家庄市鹿泉区人民法院', '2022-10-08', '2022-10-14']
['石家庄市鹿泉区人民法院', '2022-10-15', '2022-10-21']
['石家庄市鹿泉区人民法院', '2022-10-22', '2022-10-28']
['石家庄市鹿泉区人民法院', '2022-10-29', '2022-11-04']
['石家庄市鹿泉区人民法院', '2022-11-05', '2022-11-11']
['石家庄市鹿泉区人民法院', '2022-11-12', '2022-11-18']
['石家庄市鹿泉区人民法院', '2022-11-19', '2022-11-25']
['石家庄市鹿泉区人民法院', '2022-11-26', '2022-12-02']
['石家庄市鹿泉区人民法院', '2022-12-03', '2022-12-09']
['石家庄市鹿泉区人民法院', '2022-12-10', '2022-12-16']
['石家庄市鹿泉区人民法院', '2022-12-17', '2022-12-23']
['石家庄市鹿泉区人民法院', '2022-12-24', '2022-12-30']
['廊坊市安次区人民法院', '2022-01-01', '2022-01-07']
['廊坊市安次区人民法院', '2022-01-08', '2022-01-14']
['廊坊市安次区人民法院', '2022-01-15', '2022-01-21']
['廊坊市安次区人民法院', '2022-01-22', '2022-01-28']
['廊坊市安次区人民法院', '2022-01-29', '2022-02-04']
['廊坊市安次区人民法院', '2022-02-05', '2022-02-11']
['廊坊市安次区人民法院', '2022-02-12', '2022-02-18']
['廊坊市安次区人民法院', '2022-02-19', '2022-02-25']
['廊坊市安次区人民法院', '2022-02-26', '2022-03-04']
['廊坊市安次区人民法院', '2022-03-05', '2022-03-11']
['廊坊市安次区人民法院', '2022-03-12', '2022-03-18']
['廊坊市安次区人民法院', '2022-03-19', '2022-03-25']
['廊坊市安次区人民法院', '2022-03-26', '2022-04-01']
['廊坊市安次区人民法院', '2022-04-02', '2022-04-08']
['廊坊市安次区人民法院', '2022-04-09', '2022-04-15']
['廊坊市安次区人民法院', '2022-04-16', '2022-04-22']
['廊坊市安次区人民法院', '2022-04-23', '2022-04-29']
['廊坊市安次区人民法院', '2022-04-30', '2022-05-06']
['廊坊市安次区人民法院', '2022-05-07', '2022-05-13']
['廊坊市安次区人民法院', '2022-05-14', '2022-05-20']
['廊坊市安次区人民法院', '2022-05-21', '2022-05-27']
['廊坊市安次区人民法院', '2022-05-28', '2022-06-03']
['廊坊市安次区人民法院', '2022-06-04', '2022-06-10']
['廊坊市安次区人民法院', '2022-06-11', '2022-06-17']
['廊坊市安次区人民法院', '2022-06-18', '2022-06-24']
['廊坊市安次区人民法院', '2022-06-25', '2022-07-01']
